Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
9,47,Yes,7,1,35.96
7,66,No,9,5,53.15
6,86,Yes,7,9,77.28
1,98,Yes,8,2,69.26
5,74,Yes,7,1,52.04
3,45,No,6,7,15.36
1,99,No,7,3,69.37
4,84,No,5,3,59.68
2,83,No,7,6,55.8
2,58,Yes,4,7,25.79
3,57,Yes,7,8,32.99
8,95,No,9,9,90.35
8,40,No,8,7,27.81
7,64,No,4,3,39.15
6,66,Yes,8,1,47.42
9,46,No,9,9,38.36
4,83,Yes,5,4,61.64
1,81,Yes,6,6,51.1
8,68,Yes,5,1,51.0
7,70,Yes,4,3,54.02
7,83,Yes,9,5,73.17
3,82,Yes,9,7,65.15
4,75,Yes,6,9,57.18
9,58,No,7,5,46.89
6,45,No,4,5,28.68
5,64,No,6,5,42.75
3,70,Yes,8,3,43.26
9,48,Yes,6,2,40.74
5,59,No,8,0,33.84
5,49,Yes,8,1,25.1
4,76,Yes,9,1,49.11
4,66,Yes,6,9,45.83
1,52,Yes,9,6,20.15
7,80,Yes,9,5,68.51
9,41,Yes,5,7,32.24
3,89,Yes,5,8,65.16
2,60,Yes,9,4,34.17
3,72,Yes,9,2,45.92
1,63,Yes,8,3,28.22
6,92,Yes,9,7,77.94
7,83,Yes,4,2,67.98
2,81,No,6,1,51.86
8,73,Yes,4,6,63.65
6,99,Yes,5,3,88.04
4,48,No,4,7,27.36
5,41,No,7,0,12.0
8,94,No,7,7,84.58
3,95,Yes,5,4,68.97
3,69,Yes,4,1,40.75
4,61,No,6,0,34.11
1,85,No,5,5,55.77
9,50,No,7,8,40.81
8,94,Yes,5,8,84.19
8,82,Yes,4,8,72.99
6,56,No,4,3,36.4
7,75,Yes,4,5,61.59
6,52,Yes,8,9,40.46
9,46,No,4,5,33.33
3,55,No,9,4,30.19
3,72,No,7,1,42.22
3,84,Yes,7,6,62.72
3,40,Yes,8,0,10.2
9,50,Yes,7,5,44.87
4,45,Yes,7,4,16.65
7,59,Yes,5,4,46.38
9,74,No,4,7,68.26
7,83,Yes,9,8,75.03
9,76,Yes,9,6,71.64
3,80,No,5,9,57.04
4,65,No,9,7,44.46
8,97,No,5,1,82.19
6,51,No,9,1,31.28
5,69,Yes,7,7,51.74
4,67,Yes,6,5,42.65
8,66,No,4,7,55.4
1,81,Yes,6,8,54.82
9,58,No,7,8,50.57
1,44,Yes,8,5,7.89
8,97,Yes,5,7,89.07
4,44,Yes,9,1,12.76
9,80,No,9,7,80.46
5,66,No,7,2,42.07
3,67,Yes,9,0,41.65
9,65,Yes,7,6,56.02
9,66,No,6,0,53.01
4,91,No,8,0,67.59
4,88,Yes,5,0,64.51
8,81,Yes,9,3,71.99
2,60,No,8,3,25.79
9,40,Yes,8,9,33.71
6,93,No,8,5,82.31
9,67,No,4,9,61.73
8,87,Yes,8,2,82.36
7,97,Yes,7,9,90.42
1,97,Yes,4,5,69.05
3,54,No,4,6,26.9
2,94,No,8,0,63.14
5,56,No,9,5,35.95
5,65,Yes,9,9,51.94
5,59,Yes,9,0,35.52
4,64,No,9,6,43.41
5,52,No,7,9,32.19
3,72,Yes,9,4,49.38
1,64,No,5,9,33.47
5,47,Yes,8,3,26.59
9,44,Yes,4,0,32.28
9,45,No,5,8,37.97
4,62,No,9,6,39.94
3,91,No,5,1,63.13
1,69,No,4,3,29.28
2,53,No,9,3,22.89
8,93,Yes,5,7,88.53
1,62,No,7,1,23.55
8,50,Yes,7,4,37.23
7,70,No,8,9,59.81
8,45,No,8,7,35.24
6,50,No,5,5,30.8
9,52,No,4,3,38.05
3,51,No,7,4,26.07
4,93,No,6,1,65.69
6,41,Yes,8,4,20.59
8,92,No,7,2,79.05
5,74,No,9,2,54.55
3,94,No,5,6,71.48
6,75,No,7,2,56.69
4,56,Yes,7,3,28.35
9,67,Yes,5,6,57.85
3,67,Yes,8,2,41.78
4,61,Yes,8,9,41.27
7,77,Yes,6,9,66.43
7,46,Yes,6,1,25.79
4,54,No,8,9,32.9
6,71,No,8,6,57.23
3,50,Yes,8,4,21.98
6,63,No,8,0,43.7
2,42,No,7,9,9.73
8,69,No,6,7,62.17
2,45,No,5,2,10.2
7,97,No,4,6,83.58
9,41,Yes,5,5,31.4
1,53,Yes,9,9,24.18
8,80,Yes,4,5,67.42
7,57,Yes,7,7,44.12
6,90,Yes,9,3,74.72
6,83,Yes,6,3,63.77
6,70,No,4,2,48.93
9,52,Yes,8,0,38.21
2,65,No,9,9,36.93
1,83,No,7,2,51.28
6,51,Yes,4,0,28.61
8,57,Yes,8,5,46.0
3,48,Yes,9,7,18.12
1,88,No,7,2,55.57
9,60,Yes,9,3,53.72
1,87,Yes,4,4,57.7
3,88,Yes,8,6,68.19
8,92,No,6,5,81.03
3,95,Yes,7,1,67.8
4,79,Yes,4,6,56.67
8,82,No,8,7,74.94
1,63,No,6,0,26.18
6,73,No,9,5,60.44
1,47,Yes,8,8,16.32
1,83,Yes,6,6,55.81
8,92,No,4,4,80.16
4,72,Yes,8,9,52.75
1,62,No,8,9,31.72
7,52,No,5,8,37.88
5,93,No,7,1,70.02
5,92,No,8,6,80.27
1,88,No,6,8,59.8
6,53,Yes,7,1,29.95
9,53,Yes,4,9,43.72
9,55,Yes,7,5,47.12
8,88,Yes,5,8,82.73
5,77,No,4,2,56.52
1,97,Yes,8,7,70.5
9,99,No,9,4,96.67
1,78,No,4,6,46.77
8,65,Yes,4,2,50.88
5,65,Yes,5,7,45.2
3,40,No,6,1,7.73
7,71,Yes,4,7,58.03
7,96,Yes,6,1,82.54
9,54,Yes,7,6,47.56
7,91,Yes,9,1,82.15
3,60,No,5,6,30.71
1,57,No,8,0,20.74
8,69,Yes,4,5,58.49
3,99,No,9,9,79.48
8,97,No,9,6,93.83
8,52,Yes,6,3,37.46
5,63,Yes,4,0,39.55
1,69,No,9,5,40.73
7,41,No,5,3,23.05
5,58,No,8,2,35.19
8,86,Yes,7,3,77.67
9,83,No,7,5,76.47
7,86,No,6,4,71.61
7,64,Yes,9,1,49.58
1,89,No,7,1,57.73
4,53,Yes,6,2,26.64
2,45,Yes,8,5,15.83
2,51,No,4,0,19.97
2,59,Yes,5,6,31.9
4,62,Yes,8,7,39.85
1,69,No,8,6,38.59
4,69,Yes,7,2,45.29
2,77,No,7,5,47.05
5,97,Yes,5,3,79.71
3,69,Yes,4,4,39.75
8,80,No,8,2,70.7
4,69,No,9,4,50.83
1,96,No,7,5,66.48
1,97,Yes,8,7,71.36
3,75,No,4,5,48.86
9,88,Yes,6,8,83.04
7,73,No,4,9,59.8
2,55,Yes,8,9,29.37
9,63,No,8,9,58.98
2,53,Yes,5,9,24.51
3,65,No,8,3,39.84
2,47,Yes,7,1,14.38
3,53,Yes,9,8,34.1
6,70,Yes,5,2,48.89
9,41,Yes,8,6,31.86
9,87,No,4,3,81.89
7,43,Yes,8,0,28.01
3,40,No,4,7,9.13
4,94,Yes,4,3,70.56
6,59,No,8,5,41.6
5,98,Yes,4,6,84.22
2,53,Yes,9,7,25.14
6,79,No,6,9,65.6
3,64,No,5,1,33.08
8,99,Yes,8,8,95.4
2,64,No,6,9,37.68
1,42,No,4,2,7.43
9,44,No,4,0,32.21
3,77,Yes,5,1,46.2
1,93,No,6,7,63.97
7,65,Yes,6,9,54.21
5,79,No,8,5,60.0
5,77,No,4,0,55.19
1,77,Yes,7,8,51.46
9,43,No,8,6,33.35
7,46,No,8,9,33.71
8,69,No,8,2,59.04
9,69,No,5,6,63.89
6,95,No,5,5,79.09
5,58,No,8,2,36.62
6,78,No,9,7,63.46
2,74,Yes,7,0,44.76
4,79,Yes,6,4,55.03
3,72,Yes,6,7,48.21
7,72,Yes,4,2,54.68
9,53,Yes,6,9,45.0
5,77,No,6,5,56.46
6,49,Yes,7,9,33.14
2,96,Yes,6,1,69.7
3,67,No,7,8,42.12
3,53,Yes,5,1,22.21
9,75,No,7,4,66.29
7,77,No,5,2,63.24
8,55,Yes,7,9,49.07
9,99,Yes,8,8,100.0
6,60,No,9,8,45.05
4,67,No,5,6,42.3
1,72,Yes,5,9,40.66
8,45,No,6,4,32.66
7,80,Yes,5,8,68.48
2,54,Yes,7,6,26.62
8,83,Yes,8,1,70.49
5,42,Yes,8,9,23.12
7,82,No,6,0,64.81
4,86,No,7,9,66.43
5,74,Yes,7,9,54.58
8,53,Yes,4,3,35.68
1,41,No,5,9,10.34
1,68,No,6,7,34.94
4,43,No,8,5,19.55
3,65,No,9,1,36.9
2,90,No,4,4,60.19
3,51,Yes,7,8,25.1
1,41,Yes,5,5,5.31
1,56,Yes,8,5,25.1
6,74,Yes,4,6,55.06
5,49,No,7,4,26.43
8,87,No,8,2,77.81
2,61,Yes,8,2,31.71
4,80,Yes,7,4,60.46
8,82,No,7,3,71.25
6,60,Yes,6,4,38.8
1,54,Yes,8,8,24.52
4,74,No,7,4,50.81
1,87,No,9,3,59.04
2,60,No,9,3,30.12
5,60,Yes,4,0,37.42
8,60,No,5,9,49.54
8,99,No,9,3,94.14
3,83,Yes,6,3,57.53
4,71,No,7,8,51.6
6,94,Yes,5,3,74.41
3,44,Yes,6,6,18.73
2,78,Yes,8,0,47.0
6,48,Yes,5,6,30.63
5,92,No,9,1,72.21
5,57,Yes,6,7,40.15
5,60,No,7,0,36.29
5,47,No,7,9,28.35
3,83,No,6,2,60.05
7,91,No,8,7,76.48
6,73,No,9,9,60.02
4,49,Yes,6,7,25.33
2,90,No,4,4,59.13
9,80,Yes,6,4,74.04
1,96,Yes,6,7,65.32
4,63,Yes,9,9,41.34
1,79,No,7,4,48.2
6,63,No,8,8,46.61
4,95,No,6,0,71.94
5,71,No,5,4,48.52
5,95,Yes,7,2,74.64
9,72,No,7,2,60.82
1,77,No,6,1,40.23
2,83,Yes,9,2,53.97
6,96,Yes,5,6,80.83
5,95,Yes,6,7,79.34
7,90,Yes,5,7,75.73
3,98,Yes,7,7,75.36
3,88,Yes,5,0,62.72
2,73,Yes,6,6,42.47
3,50,No,4,1,16.21
1,70,No,4,9,42.1
5,57,Yes,5,3,34.08
5,62,Yes,9,4,38.76
7,99,No,6,0,85.89
4,61,Yes,8,3,39.64
3,82,Yes,4,3,54.98
1,57,Yes,7,8,25.19
8,79,Yes,6,8,68.21
3,86,Yes,6,9,63.84
2,80,No,4,0,44.23
4,86,Yes,8,7,67.58
3,78,Yes,7,3,54.0
1,59,Yes,8,3,23.32
3,52,No,7,4,25.15
2,84,No,4,1,48.28
8,40,Yes,6,0,22.53
6,91,Yes,7,4,72.24
9,43,Yes,6,6,34.3
8,63,Yes,5,9,57.02
3,75,No,5,8,49.99
5,75,No,4,1,51.87
7,84,Yes,4,7,71.54
5,41,Yes,9,6,21.57
8,67,No,4,1,53.81
5,65,No,5,4,43.17
1,62,Yes,7,6,29.31
5,54,Yes,8,2,32.33
4,75,Yes,4,1,52.92
6,66,No,8,5,50.42
3,45,No,8,9,17.32
5,74,No,5,5,58.01
2,78,No,9,3,47.79
6,77,Yes,7,0,56.52
6,74,No,5,4,58.46
5,75,No,4,0,49.87
6,49,No,5,7,31.92
7,69,Yes,5,1,53.13
5,92,No,5,8,76.92
1,80,No,4,8,52.87
8,77,No,4,2,63.23
4,68,Yes,5,5,44.75
9,91,No,5,8,85.32
6,98,Yes,8,6,87.99
1,82,Yes,7,3,50.82
3,78,No,8,2,54.19
3,89,Yes,9,1,64.73
4,43,No,7,9,24.28
6,44,Yes,9,9,29.15
7,43,Yes,7,0,24.31
4,75,No,5,9,54.94
6,98,No,8,0,79.9
1,84,Yes,7,3,48.3
8,55,Yes,9,3,43.91
7,64,Yes,7,8,49.35
9,53,Yes,4,9,47.11
3,50,No,7,0,21.04
2,68,Yes,5,3,36.84
1,73,Yes,6,2,40.01
3,61,No,4,8,35.86
5,53,Yes,6,4,33.09
2,95,No,5,8,69.7
3,63,No,6,9,36.3
4,98,No,7,5,74.49
7,78,Yes,6,8,67.04
3,65,No,8,0,32.04
9,82,No,5,3,73.8
8,75,No,8,3,64.99
4,78,Yes,6,9,58.02
1,55,Yes,8,9,27.08
1,97,Yes,4,5,67.19
1,77,Yes,6,9,47.27
1,98,No,9,0,65.36
8,71,No,8,9,67.37
3,45,No,7,4,12.19
6,73,Yes,6,2,54.23
3,95,No,9,0,69.71
5,47,Yes,4,5,22.74
7,69,Yes,7,2,52.4
2,66,Yes,6,3,37.7
6,46,No,7,8,33.77
6,66,No,6,1,45.01
3,64,Yes,6,0,34.05
6,95,No,5,9,84.39
5,85,Yes,8,5,65.92
2,80,No,6,0,48.16
9,54,Yes,4,0,43.96
8,64,Yes,9,6,60.77
3,61,Yes,8,1,29.74
8,57,No,5,3,41.02
9,51,No,8,3,40.1
3,62,No,8,1,32.21
3,90,No,6,5,68.21
2,84,No,4,9,58.05
8,78,Yes,6,1,67.98
1,64,No,4,7,31.82
8,49,Yes,4,3,33.91
7,69,No,7,0,52.95
7,49,No,6,6,28.76
3,73,No,5,5,45.82
1,85,Yes,9,5,55.57
4,52,No,8,2,22.78
9,93,Yes,7,9,94.8
5,68,No,5,6,47.44
1,77,Yes,9,5,48.17
5,80,Yes,9,9,67.97
8,84,Yes,6,9,76.46
8,48,Yes,4,8,37.34
5,52,No,6,2,24.31
9,76,No,9,2,69.65
1,53,Yes,6,3,16.6
4,76,No,7,2,51.2
3,48,Yes,5,3,20.45
2,47,No,9,5,20.77
8,78,No,7,0,63.45
7,79,No,5,1,60.84
9,93,Yes,7,9,93.37
2,42,No,8,5,12.15
4,94,Yes,4,5,70.27
6,95,No,4,0,75.95
3,86,Yes,4,5,60.87
8,79,No,8,8,72.43
3,72,Yes,9,7,50.99
2,71,Yes,9,9,50.1
3,46,Yes,8,4,17.58
6,58,No,4,3,41.25
2,73,Yes,4,5,43.17
8,53,No,5,4,42.87
1,89,Yes,5,5,59.45
7,86,Yes,6,9,79.75
2,85,Yes,7,2,58.14
6,95,No,5,6,79.15
2,96,No,5,7,71.09
2,58,No,5,4,24.11
8,90,No,5,4,79.94
2,93,No,8,3,63.12
7,98,No,6,9,89.64
3,65,No,5,4,37.09
8,56,Yes,9,9,47.05
7,93,Yes,7,7,84.16
8,67,No,5,4,56.52
7,58,No,8,8,44.06
6,66,No,9,0,48.53
7,87,No,4,6,76.7
5,91,No,4,4,69.31
7,96,Yes,6,3,78.3
1,58,No,4,2,23.39
1,72,No,5,9,41.59
9,90,No,8,6,86.33
5,46,Yes,6,1,25.5
5,68,Yes,9,4,50.09
3,94,Yes,5,1,68.37
5,82,Yes,4,6,63.45
3,44,No,7,5,15.12
9,69,Yes,5,9,64.16
9,88,Yes,7,6,83.81
6,82,Yes,9,8,66.99
1,95,Yes,7,1,61.09
7,97,Yes,9,8,90.24
7,47,No,6,6,35.99
4,81,Yes,8,1,54.64
8,51,Yes,4,9,39.63
6,81,Yes,4,1,60.66
4,52,No,5,3,26.49
4,65,No,4,1,37.56
2,57,No,6,0,21.19
2,81,No,4,5,54.25
4,90,No,5,9,69.19
5,91,No,4,4,70.29
8,88,No,8,2,75.64
6,59,No,9,0,41.03
4,55,Yes,7,8,33.45
7,76,Yes,7,7,63.82
8,42,No,9,5,30.95
2,66,Yes,7,5,40.73
7,54,No,8,3,33.18
2,97,Yes,6,1,69.42
2,73,Yes,5,3,46.29
8,84,No,8,1,76.32
2,61,Yes,5,6,30.89
9,79,No,6,8,74.8
1,62,No,8,1,27.24
9,98,Yes,4,8,94.52
1,88,No,6,8,61.62
2,43,Yes,7,7,9.82
6,90,Yes,8,0,74.38
6,93,No,6,4,77.61
1,96,No,6,9,71.38
7,80,No,8,3,69.27
8,62,No,7,6,51.99
2,86,No,9,7,59.98
8,99,Yes,7,9,97.65
9,48,No,6,7,36.82
6,63,Yes,5,1,40.15
5,60,No,9,2,38.14
9,80,Yes,9,9,77.41
9,85,Yes,6,9,82.03
1,94,Yes,8,6,65.69
3,92,Yes,8,3,68.12
9,55,Yes,8,5,50.73
2,95,No,7,7,67.71
4,94,Yes,4,7,73.32
4,64,No,8,6,43.82
2,65,Yes,8,1,33.85
3,88,No,9,1,60.15
3,84,Yes,5,2,56.84
1,48,Yes,5,3,8.46
6,54,No,6,0,34.01
8,78,No,6,4,67.7
3,72,Yes,6,6,52.05
5,40,Yes,8,9,18.91
1,44,No,5,4,6.07
7,95,Yes,6,6,85.49
1,48,Yes,5,4,15.37
9,83,No,8,9,79.73
8,45,Yes,9,7,33.76
7,67,Yes,8,6,55.4
7,84,No,6,0,66.55
5,65,Yes,8,0,43.43
5,67,No,8,4,47.15
5,79,No,5,1,57.99
1,54,Yes,4,8,23.48
8,45,Yes,7,1,30.65
1,66,No,6,8,37.81
4,77,No,4,9,55.74
9,43,Yes,9,1,28.65
9,50,No,6,3,36.53
5,60,Yes,4,2,36.04
4,69,No,8,5,47.72
3,57,No,6,3,29.19
3,74,No,4,8,47.89
5,42,Yes,7,8,24.21
1,51,No,8,9,15.42
5,66,No,6,8,46.56
6,92,No,9,2,77.86
7,69,No,9,2,56.48
9,60,Yes,6,3,52.14
3,77,No,4,8,54.66
2,60,Yes,6,5,30.5
3,99,No,8,8,78.77
9,77,No,5,7,67.01
7,79,Yes,9,6,68.48
9,54,Yes,4,4,41.03
2,57,No,7,8,30.34
5,91,No,6,3,68.72
4,68,No,8,3,43.9
2,87,Yes,6,7,58.82
9,77,No,7,3,69.22
9,99,Yes,8,6,96.53
6,60,No,7,3,37.27
6,56,Yes,8,0,36.31
8,80,Yes,5,9,72.71
6,90,Yes,9,8,79.57
1,57,No,8,3,21.82
4,96,No,7,2,72.34
7,94,Yes,4,2,81.68
2,76,Yes,9,8,53.83
9,99,Yes,5,7,98.1
8,77,No,6,9,67.01
8,51,No,5,6,41.59
7,50,No,5,6,35.56
4,87,Yes,6,3,67.46
2,91,No,8,2,65.38
3,88,No,5,3,62.4
6,59,No,9,5,40.78
5,48,Yes,5,3,22.57
8,40,No,4,3,22.18
6,97,No,9,1,81.17
6,42,No,4,6,19.68
1,60,No,9,5,24.28
4,62,No,7,1,31.93
5,48,Yes,6,4,25.41
3,93,Yes,9,5,70.69
9,58,Yes,9,4,51.7
1,84,Yes,8,3,52.71
6,94,No,8,8,85.38
6,85,No,7,2,66.71
5,91,Yes,8,1,72.57
5,58,Yes,8,8,41.72
5,62,Yes,4,7,42.22
6,66,No,8,8,54.14
8,66,No,8,9,60.04
2,78,No,7,2,49.55
6,75,Yes,7,0,54.63
1,51,Yes,5,0,12.39
4,94,Yes,8,2,67.99
3,66,No,8,3,38.77
9,85,No,9,1,74.67
3,73,Yes,8,7,55.26
6,72,Yes,4,2,53.26
1,67,No,9,3,33.43
6,70,No,8,5,55.79
4,71,Yes,4,9,47.35
8,89,Yes,5,5,79.26
9,59,No,9,1,48.18
4,79,Yes,6,5,58.76
6,74,Yes,8,3,55.51
1,70,No,9,4,36.83
4,97,Yes,7,6,78.74
7,70,No,9,6,59.9
1,77,Yes,7,5,46.78
8,61,No,8,9,51.39
6,84,Yes,4,5,68.29
5,80,Yes,7,5,60.6
9,48,Yes,9,3,36.74
2,91,No,9,2,64.1
5,48,Yes,7,0,24.28
6,54,Yes,5,2,33.21
7,52,No,5,2,34.72
5,61,Yes,5,8,43.94
9,55,No,7,2,38.85
1,71,No,7,7,41.5
7,41,No,9,7,30.6
7,65,Yes,8,2,49.47
4,53,No,8,9,35.42
9,98,Yes,4,9,96.5
5,77,No,7,5,58.41
4,73,Yes,8,7,53.82
7,47,No,8,7,29.99
4,75,No,5,9,58.45
3,60,Yes,5,9,34.56
9,95,No,5,8,89.12
8,85,Yes,6,8,77.48
1,82,No,8,7,53.33
7,95,Yes,5,6,87.06
9,67,No,5,9,61.38
8,85,No,7,2,73.53
8,83,Yes,9,6,75.88
6,87,No,5,3,66.92
4,45,Yes,7,1,16.23
8,59,Yes,4,7,46.85
3,70,No,5,1,40.83
9,72,No,9,0,58.8
2,83,No,7,4,53.81
2,46,Yes,9,9,22.02
7,47,Yes,5,8,33.94
4,48,No,4,4,22.83
8,41,Yes,5,1,23.52
9,56,No,7,9,54.08
7,91,No,4,3,78.64
5,84,No,4,7,66.01
8,76,Yes,4,6,67.6
4,81,Yes,6,4,56.12
2,83,No,7,3,51.3
6,56,Yes,6,4,39.21
9,92,No,9,6,91.54
1,77,No,4,4,41.45
7,74,Yes,6,7,64.52
9,99,No,5,6,95.87
9,86,No,6,6,79.12
3,78,No,8,8,53.66
5,69,No,9,7,50.34
8,45,No,4,7,31.06
8,43,Yes,4,5,28.13
4,90,Yes,9,6,68.33
1,76,No,9,7,46.11
1,74,Yes,7,4,42.96
4,97,No,5,9,80.55
6,96,No,9,1,79.17
8,48,No,9,6,40.6
6,45,No,7,9,28.98
9,52,Yes,9,2,48.03
9,98,Yes,6,9,95.23
2,61,No,8,7,33.99
1,67,Yes,8,5,35.6
2,69,No,8,3,37.65
5,91,Yes,9,1,74.26
4,75,No,8,6,55.84
4,41,No,5,0,10.07
9,97,No,6,6,93.71
8,75,Yes,8,9,69.95
6,47,Yes,4,9,29.54
1,84,No,9,6,53.63
2,81,Yes,6,9,56.25
6,89,Yes,5,2,71.49
2,48,Yes,8,3,14.13
5,40,Yes,5,3,16.83
5,52,Yes,9,3,30.85
6,89,Yes,8,8,77.59
6,54,Yes,4,5,31.65
6,71,Yes,6,9,58.37
2,73,Yes,4,8,42.38
3,82,Yes,8,3,57.44
6,70,Yes,7,6,56.77
8,53,Yes,6,9,47.66
1,93,Yes,5,8,65.29
1,86,No,8,9,63.01
2,53,No,4,2,20.2
6,87,Yes,9,2,72.84
9,94,Yes,7,5,92.48
4,68,Yes,9,7,51.17
3,86,No,8,0,60.61
8,58,No,5,3,43.77
9,66,Yes,4,7,57.82
5,48,Yes,6,5,23.4
9,76,Yes,7,1,67.59
2,76,Yes,8,7,52.9
3,82,Yes,8,0,52.83
7,67,No,8,0,47.93
7,91,Yes,8,6,85.68
6,96,No,4,9,83.14
6,63,Yes,6,2,39.95
2,67,Yes,5,7,35.61
6,75,No,7,8,62.31
4,91,No,8,7,71.54
3,57,Yes,9,0,28.89
2,64,No,8,0,30.9
1,74,Yes,6,5,42.94
5,43,No,6,0,20.35
2,53,No,4,7,21.85
2,78,Yes,4,5,51.54
7,65,Yes,9,4,52.33
8,47,No,9,5,32.98
8,63,Yes,4,3,53.95
4,55,No,7,0,31.79
1,59,No,9,6,27.33
7,54,Yes,4,9,41.3
1,46,No,8,8,16.95
4,97,Yes,4,3,74.32
8,56,Yes,7,3,45.58
2,61,No,4,8,30.05
6,61,Yes,4,3,45.19
6,93,No,8,9,83.28
9,51,No,9,3,43.21
5,57,Yes,8,7,41.65
4,95,Yes,8,3,76.4
5,85,No,4,8,67.59
5,86,Yes,8,7,74.48
8,54,No,6,4,42.75
8,76,No,5,8,67.27
2,55,No,5,7,21.71
7,44,No,8,9,31.44
8,41,No,9,3,26.24
6,91,Yes,7,3,75.96
5,67,No,8,0,42.65
9,96,No,9,3,92.12
3,80,No,8,7,56.33
4,93,No,4,4,73.61
9,66,No,9,5,60.95
6,70,No,7,3,51.14
8,80,Yes,8,4,71.26
7,75,Yes,6,9,66.33
2,86,No,9,7,58.06
3,82,No,5,8,59.7
1,40,No,9,2,0.0
9,89,Yes,6,9,90.28
7,68,No,6,3,51.72
1,40,No,6,0,2.99
3,47,No,7,4,15.62
4,96,No,7,3,75.9
4,55,No,9,5,29.3
5,97,No,7,5,79.69
3,67,Yes,5,9,45.5
3,61,No,4,5,34.1
1,57,No,9,2,23.76
7,61,No,8,6,47.28
1,80,No,8,2,45.12
2,51,No,9,5,22.92
4,58,No,4,9,33.47
4,64,No,8,0,36.26
5,89,No,9,7,77.13
2,98,No,9,6,75.13
4,44,Yes,6,8,17.9
1,98,Yes,5,2,66.24
2,73,Yes,8,7,46.66
1,78,No,5,1,42.07
4,98,Yes,9,8,81.36
4,49,Yes,4,0,22.35
7,86,Yes,9,9,83.31
9,96,Yes,8,6,93.41
9,46,No,5,9,38.7
5,99,Yes,6,0,75.92
1,76,Yes,6,5,48.39
1,86,No,9,0,51.66
6,91,Yes,4,3,73.4
2,99,No,7,6,75.65
8,91,Yes,8,1,81.81
9,54,Yes,9,2,45.9
4,81,Yes,6,3,59.58
5,63,No,6,5,42.23
8,65,Yes,4,8,57.43
3,65,Yes,6,3,33.57
5,85,No,8,5,71.18
3,65,Yes,4,6,38.05
3,97,Yes,5,3,74.04
3,49,Yes,4,5,21.12
7,56,Yes,8,2,35.77
7,92,Yes,8,4,81.86
7,53,No,5,9,35.22
8,41,No,9,3,28.48
5,87,No,4,6,68.92
5,52,Yes,8,5,28.89
4,66,Yes,8,6,45.18
7,48,Yes,5,5,30.89
4,46,Yes,7,1,18.13
2,87,Yes,4,6,53.98
4,49,No,8,7,23.47
8,95,No,6,6,85.96
9,93,No,5,3,83.38
3,48,Yes,7,3,17.89
7,61,No,7,4,44.59
9,62,No,5,8,55.94
4,46,No,7,4,14.16
3,87,No,8,1,65.0
5,48,Yes,7,4,24.67
1,66,Yes,4,2,29.72
3,63,No,6,9,40.24
8,68,No,8,7,63.44
8,56,No,5,9,44.98
4,59,No,6,9,39.15
2,46,No,9,1,11.29
8,82,No,8,3,74.23
8,79,No,6,4,70.07
4,46,No,7,3,17.07
3,67,No,9,4,42.54
2,58,Yes,5,9,27.2
9,59,No,5,3,46.68
1,83,Yes,4,2,46.24
7,78,Yes,7,0,62.46
5,79,No,4,3,59.59
8,46,No,4,8,31.25
4,45,Yes,7,0,17.53
7,64,Yes,8,6,51.39
5,80,No,9,2,58.16
5,98,Yes,4,7,80.95
9,52,No,6,5,43.83
9,78,No,9,0,71.26
9,79,Yes,8,9,77.59
6,61,No,7,4,42.86
6,88,Yes,5,7,74.52
5,56,No,8,2,31.76
9,87,No,4,3,78.93
8,61,Yes,6,6,47.45
7,73,Yes,9,5,61.39
7,47,No,7,6,35.78
6,88,No,5,8,73.7
5,84,Yes,9,8,72.22
4,57,No,6,1,31.03
3,63,Yes,5,2,36.98
3,99,Yes,7,3,68.55
6,93,Yes,9,5,81.02
4,99,No,8,4,80.5
6,81,Yes,4,5,66.49
3,41,No,7,7,16.32
4,41,Yes,6,1,13.96
9,66,No,8,5,59.6
5,53,No,9,8,32.87
7,87,Yes,5,4,70.12
2,78,Yes,8,0,50.33
5,92,Yes,8,7,76.02
9,92,No,6,3,84.52
3,95,No,4,7,73.76
9,51,No,8,3,41.0
6,71,Yes,8,7,54.73
4,67,Yes,4,8,41.51
7,94,Yes,4,4,80.71
8,67,Yes,5,4,55.52
6,85,Yes,9,1,70.6
5,64,No,5,8,44.75
6,43,Yes,4,3,21.34
5,65,No,7,2,39.89
8,75,Yes,4,1,63.7
1,89,Yes,5,2,62.92
7,42,Yes,6,3,27.21
2,40,Yes,6,8,12.88
9,56,Yes,9,5,49.86
1,46,No,8,9,12.69
6,87,Yes,6,4,69.81
9,44,No,5,8,36.84
1,58,No,6,7,27.67
4,78,No,7,5,54.17
4,85,No,4,2,61.18
9,73,Yes,4,6,66.24
5,74,Yes,5,9,58.43
5,88,Yes,8,5,72.25
6,55,Yes,4,7,38.38
1,79,Yes,6,5,43.74
1,89,No,7,9,65.95
9,86,Yes,8,3,83.35
3,78,Yes,8,9,57.08
4,66,No,8,6,41.64
1,80,Yes,4,6,50.02
9,77,Yes,9,7,70.57
8,89,No,8,1,82.11
2,89,Yes,5,5,61.29
8,64,No,6,2,49.2
7,65,No,9,7,55.01
6,95,Yes,7,3,79.3
1,53,No,6,3,16.65
7,53,Yes,5,1,32.79
7,53,Yes,5,5,38.82
9,64,Yes,9,5,58.61
1,75,No,6,0,41.67
2,43,No,4,7,7.66
9,86,No,5,2,74.74
9,54,No,8,0,41.03
6,71,No,7,9,60.09
